PG.Genes	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	gene_id	gene_chr	gene_start_hg38	gene_end_hg38	strand
EIF3D	O15371	Eukaryotic translation initiation factor 3 subunit D	EIF3D_HUMAN	2.69e-16	8664	22	36510850	36529431	-
EIF3E	P60228	Eukaryotic translation initiation factor 3 subunit E	EIF3E_HUMAN	1.53e-19	3646	8	108201743	108248730	-
EIF3F	O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F_HUMAN	1.29e-12	8665	11	7987320	7996171	+
EIF3G	O75821	Eukaryotic translation initiation factor 3 subunit G	EIF3G_HUMAN	4.09e-17	8666	19	10115014	10119923	-
EIF3H	O15372	Eukaryotic translation initiation factor 3 subunit H	EIF3H_HUMAN	2.47e-07	8667	8	116644816	116755823	-
EIF3I	Q13347	Eukaryotic translation initiation factor 3 subunit I	EIF3I_HUMAN	2.37e-20	8668	1	32221867	32231604	+
EIF3J	O75822	Eukaryotic translation initiation factor 3 subunit J	EIF3J_HUMAN	6.02e-12	8669	15	44537068	44562803	+
EIF3K	Q9UBQ5	Eukaryotic translation initiation factor 3 subunit K	EIF3K_HUMAN	1.08e-05	27335	19	38618419	38636959	+
EIF3L	Q9Y262	Eukaryotic translation initiation factor 3 subunit L	EIF3L_HUMAN	3.25e-18	51386	22	37848448	37888782	+
EIF3M	Q7L2H7	Eukaryotic translation initiation factor 3 subunit M	EIF3M_HUMAN	3.86e-18	10480	11	32583767	32604498	+
EIF4A1	P60842	Eukaryotic initiation factor 4A-I	IF4A1_HUMAN	1.03e-17	1973	17	7572706	7579006	+
EIF4A2	Q14240	Eukaryotic initiation factor 4A-II	IF4A2_HUMAN	1.93e-20	1974	3	186783572	186789897	+
EIF4A3	P38919	Eukaryotic initiation factor 4A-III	IF4A3_HUMAN	4.39e-15	9775	17	80135214	80147183	-
EIF4B	P23588	Eukaryotic translation initiation factor 4B	IF4B_HUMAN	3.78e-06	1975	12	53006258	53042209	+
EIF4E	P06730	Eukaryotic translation initiation factor 4E	IF4E_HUMAN	4.49e-12	1977	4	98878456	98930635	-
EIF4E2	O60573	Eukaryotic translation initiation factor 4E type 2	IF4E2_HUMAN	2.72e-05	9470	2	232550057	232583645	+
EIF4E3	Q8N5X7	Eukaryotic translation initiation factor 4E type 3	IF4E3_HUMAN	1.07e-09	317649	3	71679289	71754773	-
EIF4G1	Q04637	Eukaryotic translation initiation factor 4 gamma 1	IF4G1_HUMAN	3.79e-23	1981	3	184314495	184335358	+
EIF4G2	P78344	Eukaryotic translation initiation factor 4 gamma 2	IF4G2_HUMAN	2.01e-21	1982	11	10797046	10809035	-
EIF4G3	O43432	Eukaryotic translation initiation factor 4 gamma 3	IF4G3_HUMAN	2.04e-05	8672	1	20806292	21177320	-
EIF4H	Q15056	Eukaryotic translation initiation factor 4H	IF4H_HUMAN	4.08e-12	7458	7	74174376	74197101	+
EIF5	P55010	Eukaryotic translation initiation factor 5	IF5_HUMAN	6.21e-08	1983	14	103334002	103345025	+
EIF5A	P63241	Eukaryotic translation initiation factor 5A-1	IF5A1_HUMAN	2.09e-10	1984	17	7306999	7312463	+
EIF5B	O60841	Eukaryotic translation initiation factor 5B	IF2P_HUMAN	1.06e-12	9669	2	99337371	99400265	+
EIF6	P56537	Eukaryotic translation initiation factor 6	IF6_HUMAN	7.94e-12	3692	20	35278906	35284816	-
EIPR1	Q53HC9	EARP and GARP complex-interacting protein 1	EIPR1_HUMAN	1.68e-12					
ELAC2	Q9BQ52	Zinc phosphodiesterase ELAC protein 2	RNZ2_HUMAN	2.97e-18	60528	17	12991612	13018064	-
ELANE	P08246	Neutrophil elastase	ELNE_HUMAN	1.43e-14	1991	19	850997	856250	+
ELAVL1	Q15717	ELAV-like protein 1	ELAV1_HUMAN	2.29e-11	1994	19	7958573	8005645	-
ELF1	P32519	ETS-related transcription factor Elf-1	ELF1_HUMAN	0.000110145	1997	13	40931919	41061378	-
ELMO1	Q92556	Engulfment and cell motility protein 1	ELMO1_HUMAN	2.54e-13	9844	7	36852906	37449409	-
ELMO2	Q96JJ3	Engulfment and cell motility protein 2	ELMO2_HUMAN	1.87e-10	63916	20	46366049	46407051	-
ELMO3	Q96BJ8	Engulfment and cell motility protein 3	ELMO3_HUMAN	6.09e-13	79767	16	67199111	67204029	+
ELMOD2	Q8IZ81	ELMO domain-containing protein 2	ELMD2_HUMAN	2.79e-10	255520	4	140524158	140553770	+
ELN	P15502	Elastin	ELN_HUMAN	1.37e-05	2006	7	74027772	74069907	+
ELOB	Q15370	Elongin-B	ELOB_HUMAN	1.41e-06					
ELOC	Q15369	Elongin-C	ELOC_HUMAN	4.06e-07					
ELOVL1	Q9BW60	Elongation of very long chain fatty acids protein 1	ELOV1_HUMAN	3.16e-07	64834	1	43363397	43368074	-
ELOVL4	Q9GZR5	Elongation of very long chain fatty acids protein 4	ELOV4_HUMAN	0.000353462	6785	6	79914812	79947598	-
ELOVL7	A1L3X0	Elongation of very long chain fatty acids protein 7	ELOV7_HUMAN	0.007197977	79993	5	60751789	60844283	-
ELP1	O95163	Elongator complex protein 1	ELP1_HUMAN	3.94e-14					
ELP2	Q6IA86	Elongator complex protein 2	ELP2_HUMAN	0.009310388	55250	18	36129874	36174725	+
ELP3	Q9H9T3	Elongator complex protein 3	ELP3_HUMAN	1.92e-07	55140	8	28090231	28191153	+
ELP4	Q96EB1	Elongator complex protein 4	ELP4_HUMAN	7.29e-05	26610	11	31509729	31785252	+
ELP5	Q8TE02	Elongator complex protein 5	ELP5_HUMAN	0.000323011	23587	17	7252053	7259940	+
EMB	Q6PCB8	Embigin	EMB_HUMAN	0.001210484	133418	5	50396192	50443307	-
EMC1	Q8N766	ER membrane protein complex subunit 1	EMC1_HUMAN	2.2e-16	23065	1	19215664	19251559	-
EMC10	Q5UCC4	ER membrane protein complex subunit 10	EMC10_HUMAN	0.006743633	284361	19	50476457	50505909	+
EMC2	Q15006	ER membrane protein complex subunit 2	EMC2_HUMAN	1.37e-11	9694	8	108443624	108486907	+
EMC3	Q9P0I2	ER membrane protein complex subunit 3	EMC3_HUMAN	7.86e-20	55831	3	9962682	10011116	-
EMC4	Q5J8M3	ER membrane protein complex subunit 4	EMC4_HUMAN	2.07e-17	51234	15	34224997	34230165	+
EMC6	Q9BV81	ER membrane protein complex subunit 6	EMC6_HUMAN	0.003162038	83460	17	3668723	3669669	+
EMC7	Q9NPA0	ER membrane protein complex subunit 7	EMC7_HUMAN	1.85e-06	56851	15	34084022	34101852	-
EMC8	O43402	ER membrane protein complex subunit 8	EMC8_HUMAN	1.79e-05	10328	16	85778624	85799555	-
EMC9	Q9Y3B6	ER membrane protein complex subunit 9	EMC9_HUMAN	0.000112577	51016	14	24138965	24141588	-
EMD	P50402	Emerin	EMD_HUMAN	4.35e-19	2010	X	154379237	154381523	+
EMG1	Q92979	Ribosomal RNA small subunit methyltransferase NEP1	NEP1_HUMAN	4.09e-05	10436	12	6970781	6976003	+
EMILIN1	Q9Y6C2	EMILIN-1	EMIL1_HUMAN	2.9e-12	11117	2	27078567	27086404	+
EMILIN2	Q9BXX0	EMILIN-2	EMIL2_HUMAN	3.79e-23	84034	18	2846231	2914092	+
EML1	O00423	Echinoderm microtubule-associated protein-like 1	EMAL1_HUMAN	8.46e-07	2009	14	99737722	99942060	+
EML2	O95834	Echinoderm microtubule-associated protein-like 2	EMAL2_HUMAN	3.83e-12	24139	19	45609400	45645601	-
EML3	Q32P44	Echinoderm microtubule-associated protein-like 3	EMAL3_HUMAN	5.49e-08	256364	11	62602218	62612765	-
EML4	Q9HC35	Echinoderm microtubule-associated protein-like 4	EMAL4_HUMAN	3.79e-23	27436	2	42169338	42332548	+
ENAH	Q8N8S7	Protein enabled homolog	ENAH_HUMAN	1.25e-08	55740	1	225486832	225661676	-
ENDOD1	O94919	Endonuclease domain-containing 1 protein	ENDD1_HUMAN	2.02e-13	23052	11	95089810	95132651	+
ENDOG	Q14249	"Endonuclease G, mitochondrial"	NUCG_HUMAN	5.28e-11	2021	9	128818411	128822678	+
ENDOU	P21128	Uridylate-specific endoribonuclease	ENDOU_HUMAN	8.27e-13	8909	12	47709734	47725572	-
ENG	P17813	Endoglin	EGLN_HUMAN	3.29e-14	2022	9	127815012	127854773	-
ENO1	P06733	Alpha-enolase	ENOA_HUMAN	3.16e-12	2023	1	8861000	8879092	-
ENO2	P09104	Gamma-enolase	ENOG_HUMAN	1.62e-18	2026	12	6914450	6923696	+
ENO3	P13929	Beta-enolase	ENOB_HUMAN	3.3e-18	2027	17	4949182	4957131	+
ENOPH1	Q9UHY7	Enolase-phosphatase E1	ENOPH_HUMAN	1.8e-09	58478	4	82430480	82461175	+
ENPEP	Q07075	Glutamyl aminopeptidase	AMPE_HUMAN	2.9e-05	2028	4	110476073	110563337	+
ENPP1	P22413	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	ENPP1_HUMAN	1.65e-05	5167	6	131808016	131895155	+
ENPP2	Q13822	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	ENPP2_HUMAN	4.09e-05	5168	8	119557077	119673404	-
ENPP3	O14638	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	ENPP3_HUMAN	1.13e-05	5169	6	131637235	131747413	+
ENPP4	Q9Y6X5	Bis(5'-adenosyl)-triphosphatase ENPP4	ENPP4_HUMAN	4.82e-07	22875	6	46129964	46146699	+
ENTPD1	P49961	Ectonucleoside triphosphate diphosphohydrolase 1	ENTP1_HUMAN	7.93e-09	953	10	95710906	95877266	+
EOGT	Q5NDL2	EGF domain-specific O-linked N-acetylglucosamine transferase	EOGT_HUMAN	0.000231621	285203	3	68975212	69013961	-
EP300	Q09472	Histone acetyltransferase p300	EP300_HUMAN	3.96e-11	2033	22	41092610	41180077	+
EPB41	P11171	Protein 4.1	EPB41_HUMAN	5.28e-15	2035	1	28887091	29120046	+
EPB41L1	Q9H4G0	Band 4.1-like protein 1	E41L1_HUMAN	0.000185977	2036	20	36064891	36232799	+
EPB41L2	O43491	Band 4.1-like protein 2	E41L2_HUMAN	9.82e-13	2037	6	130828173	131063322	-
EPB41L3	Q9Y2J2	Band 4.1-like protein 3	E41L3_HUMAN	7.27e-12	23136	18	5392381	5630666	-
EPB42	P16452	Protein 4.2	EPB42_HUMAN	1.22e-22	2038	15	43197227	43225861	-
EPDR1	Q9UM22	Mammalian ependymin-related protein 1	EPDR1_HUMAN	0.000262198	54749	7	37920561	37951941	+
EPHA1	P21709	Ephrin type-A receptor 1	EPHA1_HUMAN	6.41e-15	2041	7	143390782	143408892	-
EPHA2	P29317	Ephrin type-A receptor 2	EPHA2_HUMAN	0.001215316	1969	1	16124337	16156087	-
EPHB3	P54753	Ephrin type-B receptor 3	EPHB3_HUMAN	1.45e-05	2049	3	184561799	184582408	+
EPHB4	P54760	Ephrin type-B receptor 4	EPHB4_HUMAN	3.55e-07	2050	7	100802565	100827521	-
EPHX1	P07099	Epoxide hydrolase 1	HYEP_HUMAN	9.55e-19	2052	1	225810074	225845563	+
EPHX2	P34913	Bifunctional epoxide hydrolase 2	HYES_HUMAN	4.25e-08	2053	8	27491002	27544922	+
EPHX3	Q9H6B9	Epoxide hydrolase 3	EPHX3_HUMAN	0.00483884	79852	19	15226919	15233047	-
EPM2AIP1	Q7L775	EPM2A-interacting protein 1	EPMIP_HUMAN	1.56e-06	9852	3	36985866	36993304	-
EPN1	Q9Y6I3	Epsin-1	EPN1_HUMAN	7.45e-08	29924	19	55675195	55695767	+
EPN2	O95208	Epsin-2	EPN2_HUMAN	1.58e-11	22905	17	19237377	19336715	+
EPPK1	P58107	Epiplakin	EPIPL_HUMAN	3.79e-23	83481	8	143857319	143878464	-
EPRS1	P07814	Bifunctional glutamate/proline--tRNA ligase	SYEP_HUMAN	7.73e-17					
EPS15	P42566	Epidermal growth factor receptor substrate 15	EPS15_HUMAN	2.64e-15	2060	1	51354263	51519354	-
EPS15L1	Q9UBC2	Epidermal growth factor receptor substrate 15-like 1	EP15R_HUMAN	5.78e-12	58513	19	16355244	16472012	-
EPS8	Q12929	Epidermal growth factor receptor kinase substrate 8	EPS8_HUMAN	1.02e-05	2059	12	15620141	15789576	-
EPS8L1	Q8TE68	Epidermal growth factor receptor kinase substrate 8-like protein 1	ES8L1_HUMAN	3.96e-07	54869	19	55075853	55087923	+
EPS8L2	Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2	ES8L2_HUMAN	5.6e-13	64787	11	706120	727727	+
EPX	P11678	Eosinophil peroxidase	PERE_HUMAN	6.99e-07	8288	17	58192728	58205174	+
ERAP1	Q9NZ08	Endoplasmic reticulum aminopeptidase 1	ERAP1_HUMAN	1.01e-17	51752	5	96760810	96935924	-
ERAP2	Q6P179	Endoplasmic reticulum aminopeptidase 2	ERAP2_HUMAN	8.61e-21	64167	5	96875940	96919703	+
ERBB3	P21860	Receptor tyrosine-protein kinase erbB-3	ERBB3_HUMAN	0.000751806	2065	12	56080025	56103507	+
ERBIN	Q96RT1	Erbin	ERBIN_HUMAN	0.000287184					
ERC1	Q8IUD2	ELKS/Rab6-interacting/CAST family member 1	RB6I2_HUMAN	9.6e-14	23085	12	991208	1495933	+
ERCC2	P18074	General transcription and DNA repair factor IIH helicase subunit XPD	ERCC2_HUMAN	0.000273026	2068	19	45351391	45370646	-
ERG28	Q9UKR5	Ergosterol biosynthetic protein 28 homolog	ERG28_HUMAN	0.000107254					
ERGIC1	Q969X5	Endoplasmic reticulum-Golgi intermediate compartment protein 1	ERGI1_HUMAN	2.39e-18	57222	5	172834220	172952685	+
ERH	P84090	Enhancer of rudimentary homolog	ERH_HUMAN	4.23e-08	2079	14	69380123	69398304	-
ERI3	O43414	ERI1 exoribonuclease 3	ERI3_HUMAN	2.92e-06	79033	1	44221070	44355279	-
ERLEC1	Q96DZ1	Endoplasmic reticulum lectin 1	ERLEC_HUMAN	1.07e-11	27248	2	53786931	53826928	+
ERLIN1	O75477	Erlin-1	ERLN1_HUMAN	2.68e-12	10613	10	100150090	100186057	-
ERLIN2	O94905	Erlin-2	ERLN2_HUMAN	7.3e-21	11160	8	37736579	37757801	+
ERMAP	Q96PL5	Erythroid membrane-associated protein	ERMAP_HUMAN	4.28e-06	114625	1	42817105	42844989	+
ERMP1	Q7Z2K6	Endoplasmic reticulum metallopeptidase 1	ERMP1_HUMAN	1.08e-06	79956	9	5764061	5833081	-
ERO1A	Q96HE7	ERO1-like protein alpha	ERO1A_HUMAN	1.53e-17					
ERO1B	Q86YB8	ERO1-like protein beta	ERO1B_HUMAN	6.85e-21					
ERP29	P30040	Endoplasmic reticulum resident protein 29	ERP29_HUMAN	1.77e-18	10961	12	112013348	112023220	+
ERP44	Q9BS26	Endoplasmic reticulum resident protein 44	ERP44_HUMAN	3.79e-23	23071	9	99979179	100099052	-
ESAM	Q96AP7	Endothelial cell-selective adhesion molecule	ESAM_HUMAN	0.005615386	90952	11	124753123	124762327	-
ESD	P10768	S-formylglutathione hydrolase	ESTD_HUMAN	5.26e-14	2098	13	46771256	46797681	-
ESPN	B1AK53	Espin	ESPN_HUMAN	8.78e-06	83715	1	6424776	6460944	+
ESRP1	Q6NXG1	Epithelial splicing regulatory protein 1	ESRP1_HUMAN	3.02e-09	54845	8	94641136	94707466	+
ESRP2	Q9H6T0	Epithelial splicing regulatory protein 2	ESRP2_HUMAN	5.71e-15	80004	16	68228547	68236233	-
ESYT1	Q9BSJ8	Extended synaptotagmin-1	ESYT1_HUMAN	4e-20	23344	12	56128202	56144676	+
ESYT2	A0FGR8	Extended synaptotagmin-2	ESYT2_HUMAN	8.34e-16	57488	7	158730998	158829628	-
ETF1	P62495	Eukaryotic peptide chain release factor subunit 1	ERF1_HUMAN	1.51e-15	2107	5	138506093	138543300	-
ETFA	P13804	"Electron transfer flavoprotein subunit alpha, mitochondrial"	ETFA_HUMAN	3.79e-23	2108	15	76216287	76311469	-
ETFB	P38117	Electron transfer flavoprotein subunit beta	ETFB_HUMAN	7.41e-12	2109	19	51345155	51366418	-
ETFDH	Q16134	"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"	ETFD_HUMAN	5.66e-14	2110	4	158672101	158708713	+
ETHE1	O95571	"Persulfide dioxygenase ETHE1, mitochondrial"	ETHE1_HUMAN	1.7e-20	23474	19	43506719	43527244	-
EVI2B	P34910	Protein EVI2B	EVI2B_HUMAN	1.42e-06	2124	17	31302870	31314389	-
EVI5	O60447	Ecotropic viral integration site 5 protein homolog	EVI5_HUMAN	0.008622314	7813	1	92508696	92792404	-
EVL	Q9UI08	Ena/VASP-like protein	EVL_HUMAN	0.001596543	51466	14	100019387	100144236	+
EVPL	Q92817	Envoplakin	EVPL_HUMAN	3.79e-23	2125	17	76006845	76027452	-
EWSR1	Q01844	RNA-binding protein EWS	EWS_HUMAN	8.72e-22	2130	22	29268009	29300525	+
EXD2	Q9NVH0	Exonuclease 3'-5' domain-containing protein 2	EXD2_HUMAN	0.000803574	55218	14	69191477	69244020	+
EXOC1	Q9NV70	Exocyst complex component 1	EXOC1_HUMAN	8.54e-13	55763	4	55853636	55905078	+
EXOC2	Q96KP1	Exocyst complex component 2	EXOC2_HUMAN	3.02e-21	55770	6	485138	693141	-
EXOC3	O60645	Exocyst complex component 3	EXOC3_HUMAN	1.18e-07	11336	5	443209	467305	+
EXOC4	Q96A65	Exocyst complex component 4	EXOC4_HUMAN	3.79e-23	60412	7	133253067	134065761	+
EXOC5	O00471	Exocyst complex component 5	EXOC5_HUMAN	3.79e-23	10640	14	57202476	57268899	-
EXOC6	Q8TAG9	Exocyst complex component 6	EXOC6_HUMAN	0.000451882	54536	10	92834713	93059494	+
EXOC6B	Q9Y2D4	Exocyst complex component 6B	EXC6B_HUMAN	3.79e-23	23233	2	72175984	72826048	-
EXOC7	Q9UPT5	Exocyst complex component 7	EXOC7_HUMAN	2.27e-15	23265	17	76080993	76103787	-
EXOC8	Q8IYI6	Exocyst complex component 8	EXOC8_HUMAN	1.28e-12	149371	1	231332731	231337872	-
EXOSC10	Q01780	Exosome component 10	EXOSX_HUMAN	1.43e-11	5394	1	11066613	11099910	-
EXOSC2	Q13868	Exosome complex component RRP4	EXOS2_HUMAN	2.58e-11	23404	9	130693760	130704894	+
EXOSC3	Q9NQT5	Exosome complex component RRP40	EXOS3_HUMAN	0.003351486	51010	9	37779714	37785092	-
EXOSC4	Q9NPD3	Exosome complex component RRP41	EXOS4_HUMAN	1.06e-11	54512	8	144064087	144080648	+
EXOSC5	Q9NQT4	Exosome complex component RRP46	EXOS5_HUMAN	0.000171756	56915	19	41386370	41397351	-
EXOSC6	Q5RKV6	Exosome complex component MTR3	EXOS6_HUMAN	4.14e-17	118460	16	70250231	70251930	-
EXOSC7	Q15024	Exosome complex component RRP42	EXOS7_HUMAN	3.06e-05	23016	3	44976230	45012668	+
EXOSC8	Q96B26	Exosome complex component RRP43	EXOS8_HUMAN	0.000125131	11340	13	37000373	37009614	+
EXOSC9	Q06265	Exosome complex component RRP45	EXOS9_HUMAN	3.87e-07	5393	4	121801295	121817021	+
EXPH5	Q8NEV8	Exophilin-5	EXPH5_HUMAN	0.001841544	23086	11	108505431	108593765	-
EZR	P15311	Ezrin	EZRI_HUMAN	1.33e-16	7430	6	158765741	158819424	-
F10	P00742	Coagulation factor X	FA10_HUMAN	5.02e-08	2159	13	113122799	113149529	+
F11	P03951	Coagulation factor XI	FA11_HUMAN	3.72e-07	2160	4	186265945	186289681	+
F11R	Q9Y624	Junctional adhesion molecule A	JAM1_HUMAN	7.93e-11	50848	1	160995211	161021343	-
F12	P00748	Coagulation factor XII	FA12_HUMAN	1.42e-10	2161	5	177402138	177416524	-
F13A1	P00488	Coagulation factor XIII A chain	F13A_HUMAN	3.79e-23	2162	6	6144078	6321013	-
F13B	P05160	Coagulation factor XIII B chain	F13B_HUMAN	1.18e-10	2165	1	197039191	197067267	-
F2	P00734	Prothrombin	THRB_HUMAN	8.6e-14	2147	11	46719192	46739506	+
F3	P13726	Tissue factor	TF_HUMAN	0.008018664	2152	1	94529176	94541857	-
F5	P12259	Coagulation factor V	FA5_HUMAN	1.64e-11	2153	1	169511954	169586531	-
F7	P08709	Coagulation factor VII	FA7_HUMAN	0.002474392	2155	13	113105788	113120681	+
F8A1	P23610	40-kDa huntingtin-associated protein	HAP40_HUMAN	3.27e-08	8263	X	154886360	154888061	+
F9	P00740	Coagulation factor IX	FA9_HUMAN	1.76e-20	2158	X	139530734	139563464	+
FABP3	P05413	"Fatty acid-binding protein, heart"	FABPH_HUMAN	1.5e-05	2170	1	31360418	31373283	-
FABP4	P15090	"Fatty acid-binding protein, adipocyte"	FABP4_HUMAN	4.21e-19	2167	8	81478497	81483238	-
FABP5	Q01469	Fatty acid-binding protein 5	FABP5_HUMAN	0.000162446	2171	8	81280483	81284777	+
FABP7	O15540	"Fatty acid-binding protein, brain"	FABP7_HUMAN	7.43e-16	2173	6	122779501	122784074	+
FABP9	Q0Z7S8	Fatty acid-binding protein 9	FABP9_HUMAN	3.33e-05	646480	8	81458383	81461523	-
FADD	Q13158	FAS-associated death domain protein	FADD_HUMAN	3.42e-05	8772	11	70203163	70207402	+
FADS1	O60427	Acyl-CoA (8-3)-desaturase	FADS1_HUMAN	0.002649563	3992	11	61799625	61817057	-
FADS2	O95864	Acyl-CoA 6-desaturase	FADS2_HUMAN	1.87e-14	9415	11	61816203	61867354	+
FAF1	Q9UNN5	FAS-associated factor 1	FAF1_HUMAN	1.63e-12	11124	1	50441263	50960264	-
FAF2	Q96CS3	FAS-associated factor 2	FAF2_HUMAN	3.79e-23	23197	5	176448306	176510074	+
FAH	P16930	Fumarylacetoacetase	FAAA_HUMAN	8.21e-16	2184	15	80152891	80186582	+
FAHD1	Q6P587	"Acylpyruvase FAHD1, mitochondrial"	FAHD1_HUMAN	6.14e-11	81889	16	1827224	1840207	+
FAHD2A	Q96GK7	Fumarylacetoacetate hydrolase domain-containing protein 2A	FAH2A_HUMAN	3.79e-23	51011	2	95402691	95416609	+
FAIM	Q9NVQ4	Fas apoptotic inhibitory molecule 1	FAIM1_HUMAN	0.001493039	55179	3	138608594	138633376	+
FAM114A1	Q8IWE2	Protein NOXP20	NXP20_HUMAN	3.81e-16	92689	4	38867733	38945744	+
FAM114A2	Q9NRY5	Protein FAM114A2	F1142_HUMAN	9.99e-10	10827	5	153991599	154038937	-
FAM120A	Q9NZB2	Constitutive coactivator of PPAR-gamma-like protein 1	F120A_HUMAN	5.42e-13	23196	9	93451696	93566115	+
FAM120B	Q96EK7	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	F120B_HUMAN	0.000277802	84498	6	170290703	170407071	+
FAM126A	Q9BYI3	Hyccin	HYCCI_HUMAN	2.18e-05	84668	7	22895848	23014195	-
FAM162A	Q96A26	Protein FAM162A	F162A_HUMAN	8.06e-10	26355	3	122384176	122410114	+
FAM172A	Q8WUF8	Cotranscriptional regulator FAM172A	F172A_HUMAN	2.08e-06	83989	5	93617725	94111699	-
FAM174A	Q8TBP5	Membrane protein FAM174A	F174A_HUMAN	0.000122468	345757	5	100535305	100586741	+
FAM177A1	Q8N128	Protein FAM177A1	F177A_HUMAN	3.59e-11	283635	14	35044907	35083383	+
FAM3C	Q92520	Protein FAM3C	FAM3C_HUMAN	2.78e-13	10447	7	121348245	121396369	-
FAM83B	Q5T0W9	Protein FAM83B	FA83B_HUMAN	1.4e-10	222584	6	54846643	54945099	+
FAM83C	Q9BQN1	Protein FAM83C	FA83C_HUMAN	0.000221336	128876	20	35285731	35292422	-
FAM83F	Q8NEG4	Protein FAM83F	FA83F_HUMAN	1.15e-06	113828	22	39994949	40030039	+
FAM83G	A6ND36	Protein FAM83G	FA83G_HUMAN	1.76e-06	644815	17	18971068	19004747	-
FAM83H	Q6ZRV2	Protein FAM83H	FA83H_HUMAN	5.54e-20	286077	8	143723933	143738030	-
FAM8A1	Q9UBU6	Protein FAM8A1	FA8A1_HUMAN	0.00705666	51439	6	17600287	17611719	+
FAM91A1	Q658Y4	Protein FAM91A1	F91A1_HUMAN	0.000510074	157769	8	123768439	123815452	+
FAM98A	Q8NCA5	Protein FAM98A	FA98A_HUMAN	3.79e-23	25940	2	33583661	33599362	-
FAM98B	Q52LJ0	Protein FAM98B	FA98B_HUMAN	8.87e-06	283742	15	38454127	38487710	+
FAM98C	Q17RN3	Protein FAM98C	FA98C_HUMAN	2.13e-19	147965	19	38403125	38409088	+
FAP	Q12884	Prolyl endopeptidase FAP	SEPR_HUMAN	2.73e-19	2191	2	162170684	162243535	-
FAR1	Q8WVX9	Fatty acyl-CoA reductase 1	FACR1_HUMAN	0.000381026	84188	11	13668659	13732346	+
FAR2	Q96K12	Fatty acyl-CoA reductase 2	FACR2_HUMAN	7.04e-06	55711	12	29149003	29335616	+
FARP1	Q9Y4F1	"FERM, ARHGEF and pleckstrin domain-containing protein 1"	FARP1_HUMAN	1.17e-10	10160	13	98142562	98449773	+
FARP2	O94887	"FERM, ARHGEF and pleckstrin domain-containing protein 2"	FARP2_HUMAN	0.002416256	9855	2	241356249	241494842	+
FARS2	O95363	"Phenylalanine--tRNA ligase, mitochondrial"	SYFM_HUMAN	7.21e-07	10667	6	5261018	5771583	+
FARSA	Q9Y285	Phenylalanine--tRNA ligase alpha subunit	SYFA_HUMAN	2.96e-16	2193	19	12922470	12933744	-
FARSB	Q9NSD9	Phenylalanine--tRNA ligase beta subunit	SYFB_HUMAN	1.36e-21	10056	2	222571443	222656355	-
FASN	P49327	Fatty acid synthase	FAS_HUMAN	4.93e-18	2194	17	82078338	82098289	-
FAT1	Q14517	Protocadherin Fat 1	FAT1_HUMAN	0.00028006	2195	4	186587783	186726915	-
FAT2	Q9NYQ8	Protocadherin Fat 2	FAT2_HUMAN	2.72e-08	2196	5	151504092	151652140	-
FAU	P62861	FAU ubiquitin-like and ribosomal protein S30	RS30_HUMAN	9.53e-09	2197	11	65120627	65122200	-
FBL	P22087	rRNA 2'-O-methyltransferase fibrillarin	FBRL_HUMAN	1.9e-11	2091	19	39834453	39846414	-
FBLIM1	Q8WUP2	Filamin-binding LIM protein 1	FBLI1_HUMAN	0.000422152	54751	1	15756171	15786589	+
FBLN1	P23142	Fibulin-1	FBLN1_HUMAN	8.07e-19	2192	22	45502839	45601134	+
FBLN2	P98095	Fibulin-2	FBLN2_HUMAN	1.62e-12	2199	3	13549125	13638422	+
FBLN5	Q9UBX5	Fibulin-5	FBLN5_HUMAN	1.53e-16	10516	14	91869411	91947702	-
FBLN7	Q53RD9	Fibulin-7	FBLN7_HUMAN	0.000523188	129804	2	112138385	112188218	+
FBN1	P35555	Fibrillin-1	FBN1_HUMAN	2.99e-12	2200	15	48408306	48645788	-
FBP1	P09467	"Fructose-1,6-bisphosphatase 1"	F16P1_HUMAN	4.35e-08	2203	9	94603133	94640249	-
FBP2	O00757	"Fructose-1,6-bisphosphatase isozyme 2"	F16P2_HUMAN	2.35e-06	8789	9	94558714	94593832	-
FBXL18	Q96ME1	F-box/LRR-repeat protein 18	FXL18_HUMAN	0.001220422	80028	7	5454465	5513805	-
FBXL8	Q96CD0	F-box/LRR-repeat protein 8	FBXL8_HUMAN	1.21e-06	55336	16	67159988	67164174	+
FBXO2	Q9UK22	F-box only protein 2	FBX2_HUMAN	0.000103417	26232	1	11648361	11654831	-
FBXO22	Q8NEZ5	F-box only protein 22	FBX22_HUMAN	7.17e-12	26263	15	75903859	75935268	+
FBXO28	Q9NVF7	F-box only protein 28	FBX28_HUMAN	0.000345384	23219	1	224114087	224162047	+
FBXO3	Q9UK99	F-box only protein 3	FBX3_HUMAN	1.14e-06	26273	11	33740944	33774531	-
FBXO4	Q9UKT5	F-box only protein 4	FBX4_HUMAN	0.001344448	26272	5	41925252	42040228	+
